TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
176.216235828,-161.162,11.6343,-0.551394,4.26619,-4.44032,5.89154,1.04718,3.94303,0.879482,5.64838,-2.25513,3.39756,-1.49413,2.59662,-2.82305,0.138088,0.956309,-0.290223,-1.25643,3.86568,-0.419742
176.239455782,-164.293,14.4522,1.20922,3.04386,-4.3036,7.02029,1.86427,5.18375,3.20418,4.77383,-3.49364,3.9773,-2.39922,3.82759,-1.56654,2.45569,1.55661,0.0738599,-4.10468,0.747407,-2.53345
176.262675737,-169.235,16.0571,-1.48169,1.86378,-4.90597,3.12707,-2.34231,7.50958,7.50487,7.70102,-1.43091,3.85511,-1.99728,2.27009,0.507813,3.20986,-1.72653,2.2278,-0.443399,-1.36255,-4.65017
176.285895692,-170.109,15.9315,-4.49999,3.72414,-7.54572,0.373982,-2.92701,5.07787,6.08769,9.42814,-0.634516,2.09662,-5.4696,0.586638,-0.150959,4.55244,2.62104,4.17483,1.91505,2.48085,-0.690261
176.309115646,-167.604,15.2845,-3.66971,5.56536,-5.41832,3.16026,0.250979,7.39676,3.89483,6.84548,0.301929,2.79441,-3.42591,2.86887,0.207603,1.11221,0.220377,4.38503,1.62638,-0.572681,-3.35871
176.332335601,-168.188,12.9272,-2.51855,4.40005,-1.97847,4.10496,-0.0822028,3.65093,2.576,4.22215,0.151046,5.8704,-3.88586,3.8559,-1.59325,2.23732,-2.91518,2.37428,-0.40317,0.99756,-4.24588
176.355555556,-171.238,15.7141,-0.579191,6.64404,-0.40829,4.6337,-2.94046,3.41311,-1.05611,2.70367,-2.22246,2.47834,-4.25819,3.84747,-3.25173,1.20622,-0.171895,1.07198,-1.9433,-1.55838,-2.579
176.378775510,-177.874,17.3963,-0.605878,5.57235,-1.78,7.39256,1.88001,5.38482,-0.417291,0.227609,-2.46124,1.21537,-3.46083,2.5338,0.0183514,3.7016,-1.01842,1.13073,-2.52332,-3.12345,-3.9747
176.401995465,-179.326,15.0733,-3.52928,5.64254,-3.24202,9.14622,1.23496,5.8313,3.11592,6.08732,-2.20951,3.74545,-1.54061,3.66241,-1.54756,2.4396,-1.40923,1.63238,-0.463665,-0.52746,-4.2536
176.425215420,-176.206,18.0529,-0.635405,5.86535,-1.62636,7.53266,-1.54923,4.23477,2.61277,5.26588,-4.80903,3.02536,-4.32529,3.19473,-2.6471,2.92086,-2.59384,0.537451,-4.24328,-1.29703,-4.64389
176.448435374,-171.731,15.8438,1.57253,5.06951,-2.0951,7.23676,-1.11851,6.68966,0.592408,3.23275,-4.11741,2.64959,-2.989,4.24349,-0.513585,4.16437,-0.626555,-1.98667,-2.89692,0.689716,-2.35991
176.471655329,-175.551,17.881,-0.384293,4.58558,-3.32527,6.68032,0.648764,6.40526,2.11016,2.60836,-2.55291,3.3721,0.678906,5.04598,-0.72861,2.55091,-2.70003,-0.636076,-2.68906,0.642456,0.359706
176.494875283,-174.828,16.5249,-2.08381,5.3491,-4.53642,4.81905,4.1126,9.37383,0.850831,1.44424,-2.65531,2.43669,-0.877527,2.98123,-1.43264,0.933975,-2.05711,0.823876,1.44877,0.504841,0.292836
176.518095238,-152.6,14.4861,0.20016,8.51382,-0.222356,6.37952,3.29522,4.79689,4.91861,2.60073,-2.40294,-1.09579,-0.15508,2.11098,-3.04576,-0.215504,-3.51888,-1.45997,-2.32787,-1.48039,-1.57321
176.541315193,-148.492,10.0649,-0.561099,6.11411,-1.21514,4.76096,3.20802,5.97101,1.05018,3.40866,-1.42807,2.97928,0.705979,2.70084,-2.27544,0.75466,0.530989,2.24719,-1.57621,0.127155,-1.64996
176.564535147,-152.012,14.0227,-1.63585,6.17664,-4.98931,4.03358,4.20534,5.83775,3.23685,5.75447,-1.34919,5.044,-1.26838,1.93642,-3.21724,-0.258342,1.04012,2.70448,1.77277,0.936745,-2.38045
176.587755102,-163.985,14.5678,-4.8537,2.04362,-4.74569,1.42289,1.6872,6.23661,2.97541,9.38212,2.74928,3.44882,-2.90562,0.287723,-1.01164,1.49011,2.13678,3.60301,-0.303377,-0.927319,0.541914
176.610975057,-167.518,19.2865,-2.48143,4.95508,-3.62599,7.58051,0.726466,4.17633,1.93479,5.77555,-0.185255,3.75832,-1.01509,1.57872,-0.642696,2.57613,1.25247,-0.262298,-1.82736,-1.84736,-3.13065
176.634195011,-172.568,15.6173,-2.81928,0.529068,-4.05485,5.56838,-0.125572,5.33964,1.83462,5.66393,-2.52571,1.70208,-3.01289,1.56247,-2.49437,1.51016,0.45846,2.11777,1.84411,-3.33225,-5.59111
176.657414966,-173.056,19.5802,0.54487,2.80202,-5.32949,5.50256,2.71564,7.85171,5.88845,4.67241,-1.97427,4.24764,-2.7888,-0.39956,-3.75205,-1.08948,2.24023,2.51917,0.465286,-4.56968,-4.31597
176.680634921,-173.28,21.0759,-1.43305,0.885173,-6.75334,4.21767,0.380412,5.71258,1.09175,4.14041,-2.26453,-0.646623,-4.11793,-1.16807,-5.03369,2.48322,0.133477,1.53731,-2.07912,-4.32488,-4.32683
176.703854875,-172.875,14.3116,0.505436,0.72938,-5.82405,3.02613,-2.13582,5.4166,3.37492,5.89678,0.214442,3.69532,-5.63546,-3.39993,-3.90534,4.80632,1.17418,2.52709,0.157814,-1.34379,-4.25176
