TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
4.783310658,2.60835,0.0250193,0.00846434,0.0134142,0.128121,0.907107,0.646919,0.182057,0.0895089,0.477224,0.0807155,1.10581
4.829750567,1.62002,0.00236045,0.671449,0.32094,0.0929763,0.849312,0.778182,0.090807,0.0302721,0.551136,0.343946,1.47441
4.876190476,1.0859,0,0.791553,0.670315,0.155759,0.749108,0.665408,0.0167537,0.0689002,0.557741,0.32526,1.48098
4.922630385,0.527364,0.00221999,0.741552,0.922498,0.441203,0.616898,0.529199,0.107917,0.001354,0.818365,0.229101,1.4833
4.969070295,0.250079,0.138912,0.386304,0.436847,0.639259,0.448049,0.441836,0.308741,0.0761499,0.65709,0.344878,1.50106
5.015510204,0.390396,0.0712408,0.524857,0.0768044,0.499128,0.551582,0.218156,0.570486,1.20502,0.323551,1.26531,0.608627
5.061950113,0.248155,0.0874628,0.590663,0.073785,0.230443,1.19014,0.117548,0.505926,0.782658,0.518617,1.87786,0.0628335
5.108390023,0.172011,0.294611,0.56851,0.106704,0.144374,1.25053,0.0695402,0.435386,0.454361,0.820895,1.85568,0.0836785
5.154829932,0.462222,1.08892,0.039375,0.811421,1.00534,0.515717,0.907429,0.663091,0.0148539,1.17993,1.18211,0.0591382
5.201269841,0.199732,1.246,0.220247,0.429169,0.863901,0.315248,0.969002,1.03418,0,0.938785,1.63954,0.144332
5.247709751,0.157325,1.16571,0.202055,0.278666,0.766516,0.279383,1.00099,1.28224,0.0572285,0.784857,1.80556,0.197991
5.294149660,0.0527909,0.997845,0.169586,0.530827,0.570896,0.214469,0.91708,1.41947,0.0647731,0.434201,2.35553,0.333628
5.340589569,0.0334229,0.663874,0.0607433,1.65356,0.433963,0.152146,0.852756,1.36547,0.0532076,0.228448,2.51446,0.45002
5.387029478,0,0,0.173041,2.714,0.136265,0.278974,0.821015,1.1398,0.0594157,0.107926,2.37816,0.520131
5.433469388,0.489045,0,0.732259,2.17118,0.158588,0.190965,0.894955,0.654227,0.293762,0.0115475,2.0768,0.882196
5.479909297,0.884056,0,0.981431,1.44091,0.212842,0.16859,0.781269,0.596469,0.567664,0.0572679,1.69668,0.871251
5.526349206,1.19834,0.192692,0.879472,1.50133,0.0711541,0.209921,1.26366,0.412884,0.59725,0.675179,1.04835,0.326299
5.572789116,1.29498,0.0978716,0.552397,1.31615,0.117087,0.143017,1.45276,0.519887,0.650484,0.718369,0.766875,0.193441
5.619229025,1.54125,0.396521,0.262325,1.20962,0.264145,0.0669426,1.65425,0.565108,0.336446,1.09824,0.541185,0.000500772
5.665668934,1.87944,0.537603,0.604752,0.484554,0.50413,0.270253,0.803976,0.796137,0,1.7294,0.163404,0.110597
5.712108844,2.26796,0.531087,0.647884,0.411283,0.500426,0.537353,0.751932,0.780731,0,1.40449,0.13967,0.121809
5.758548753,2.50586,0.559297,0.470001,0.307807,0.362099,1.35528,0.529616,1.08253,0.0494579,1.19515,0.147585,0.1285
5.804988662,2.94106,0.27061,0.153549,0.09079,0.176195,1.92181,0,1.40984,0.294872,0.960797,0.314358,0.136847
5.851428571,2.75278,0.000731553,0.225394,0.604464,0.16011,2.64512,0,0.913696,0.582244,0.829818,0.539781,0.141936
5.897868481,2.73749,0.00254981,0.00354674,1.35204,0.353304,1.76755,0.00254237,0.626681,0.314442,0.927918,0.996452,0.0854259
5.944308390,2.47345,0.00336662,0.00518634,1.23421,0.598457,1.24237,0.026761,0.570784,0.0318949,1.11361,1.1846,0.00167597
5.990748299,2.00199,0.00260086,0.0208479,0.737777,1.0702,1.01495,0.0346404,0.277082,0.45041,1.3942,0.931672,0
6.037188209,2.19911,0,0.0173048,0.422736,1.59976,1.28903,0.0324076,0.19377,0.931306,1.61785,0.560476,0.0636815
6.083628118,2.2068,0,0.000149803,0.190699,2.2379,1.50822,0.0358772,0.302743,0.975082,0.829536,0.694491,0.143591
6.130068027,2.07715,0.00111184,0,0.200534,2.50472,1.30477,0.0299172,0.174123,0.880711,0.702685,1.17774,0.129075
6.176507937,0.919123,0.766071,0.000337528,0,1.93772,1.1927,0.512505,0.128386,0.050271,1.66606,1.99534,0.119237
6.222947846,0.279088,0.470891,1.0624,0.490212,0.426984,1.19577,0.485354,0.148908,0.278618,0.872419,1.22445,0.891742
6.269387755,0.328063,0.234118,1.00787,0.250918,0.388418,1.05542,0.708779,0.213105,0.296851,0.791707,1.29795,0.929972
6.315827664,0.306278,0.182713,0.994546,0.234961,0.321342,1.06221,0.870215,0.240184,0.274975,0.711342,1.24415,0.83361
6.362267574,0.327173,0.171083,0.930133,0.187424,0.323222,1.06152,0.886996,0.22963,0.239487,0.681905,1.18028,0.856974
6.408707483,0.217345,0.193405,0.674608,0.762491,0.628049,0.99038,0.758251,0.0967281,0.187726,0.725222,0.933759,0.697804
6.455147392,2.4879e-05,0.0749362,0.201826,1.4891,1.59321,0.428291,0.0770599,0.000626661,0.278486,0.512581,1.16048,0.206743
6.501587302,0.431882,0.5912,0.147409,2.02509,2.05757,0.0261566,0.0176285,0.699044,0.406604,0.185762,1.71146,0.0863838
6.548027211,0.431713,0.977311,0.0530234,2.1672,2.13406,0.0351801,0.0343834,0.965172,0.233474,0.195814,1.74896,0
6.594467120,0.355686,0.984393,0.00317952,2.65918,1.85492,0.0421662,0.0113481,1.21233,0.194759,0.177663,1.60901,0.0491613
6.640907029,0.0545055,0.12678,0.455661,3.21097,0.0194052,0.0710563,0.000618709,1.7009,0.0876595,0.608034,1.42781,0.300829
6.687346939,0.024163,0.0807848,0.645893,3.0199,0.0799849,0.0865614,0.214695,1.28284,0.182348,0.661549,1.26149,0.813222
6.733786848,0.000242028,0.119311,0.113745,3.17335,0.132108,0.434682,0.229742,0.935725,0.0220536,0.725129,1.3887,0.780294
6.780226757,0.000413795,0.372633,0.114061,2.22306,0.532297,0.590041,0.0128573,0.343257,0.439575,0.214813,1.64179,0.751961
6.826666667,0,0.443433,0.305018,0.479019,0.666363,0.889386,0.178757,0.683644,0.433112,0.381448,1.32824,0.553165
6.873106576,0,0.600428,0.51884,0.458065,0.849974,0.903697,0.221783,0.636677,1.07515,0.361198,1.0203,0.428666
6.919546485,0.0687478,0.647289,0.320926,1.16964,0.753443,0.372553,0.129523,0.465707,1.81726,0.166827,1.0794,0.260564
6.965986395,0.0601667,0.649257,0.27635,1.7725,0.44487,0.200564,0.00836388,0.240328,2.34925,0.0917432,1.09684,0.196209
7.012426304,0,0.641686,0.178882,2.37323,0.163589,0.120489,0.00747458,0.0641245,2.49925,0.059959,1.31057,0.0668198
7.058866213,0.440026,0,0.270846,1.63041,0.119657,0.184575,0.164936,0.260393,1.98203,0.0046221,1.31453,0.0608236
7.105306122,0.670881,0.404957,0.471528,0.981159,0.157512,0.348647,0.192707,0.390512,1.4961,0.0206927,0.999837,0.0782611
7.151746032,1.08038,0.403718,0.352624,0.595602,0.0999212,0.49971,0.358142,0.71095,1.12253,0.418107,0.983744,0.0635123
7.198185941,1.19895,0.246235,0.271286,0.244965,0.135524,0.86137,0.371527,0.802653,0.952775,0.495052,1.08416,0.125709
7.244625850,1.07362,1.95919,0.00425448,0.16557,0.168051,1.12862,0.387282,0.686522,0.691229,0.661738,0.964189,0.32424
7.291065760,0.153284,2.80513,0.3302,0.00419339,0.659244,0.647335,1.34503,0.24916,0.213596,0.663946,0.119141,0.826263
7.337505669,0.157459,3.2413,0.387561,0.047396,0.232441,0.655484,1.78385,0.0232004,0.728282,0.682309,0.205137,0.403155
7.383945578,0.192296,3.55286,0.0560075,0.0124718,0.0379207,1.29048,1.59517,0.0115856,1.4858,0.581179,0.254217,0.0927783
7.430385488,0.179956,4.20551,0.0133399,0.0121594,0.0439395,1.81578,0.627152,0.00713414,2.07602,0.164144,0.217198,0.000524349
7.476825397,0.0815602,4.42383,0.00222632,0.00897327,0.0418161,1.89541,0.00701543,0.0103879,2.23309,0.0170267,0.118656,0.000466438
7.523265306,0.0796896,4.15402,0.00322732,0,0.0977328,1.31365,0,0,2.38098,0.0172723,0.124615,0.000369185
7.569705215,0.137143,3.36437,0.0029738,0.226188,0.214944,0.631665,0.0416398,0.167692,2.19952,0.0192602,0.354818,0.181552
7.616145125,0.224085,2.13605,0.00294152,0.475264,0.414422,0.214435,0.0385872,0.381264,1.71046,0.0115327,0.548198,0.252855
7.662585034,1.83738,1.74655,0.00330025,1.08621,0.895122,0.108616,0.0205919,0.642916,1.13515,0.169571,0.120572,0
7.709024943,2.75576,0.956925,0.0011301,0.653621,1.69515,0.0735744,0,0.747352,0.763108,0.0606649,0.00047356,0.0525172
7.755464853,2.70389,0.483311,0,0.0107825,1.70022,0.0216055,0,0.570815,1.11294,0.111263,0.000650486,0.562989
7.801904762,2.88893,0.727532,0.364302,0.0177504,0.294383,0.438646,0.890779,0.615294,0.446557,0.196045,0.0465136,0.0585832
7.848344671,2.87845,0.231931,0.532635,0.558663,0.0438686,0.622341,1.22936,0.831423,0.300548,0.444918,0.809856,0.000235474
7.894784580,2.1975,0.0463343,0.86177,0.568765,0.201412,0.805416,1.31063,0.873117,0.104179,0.438987,0.927313,0.000241215
7.941224490,1.75912,0.0114935,0.899572,0.356076,0.19563,0.966601,1.28754,0.925976,0.12878,0.512258,0.949996,0.0107838
7.987664399,1.45664,0,0.791644,0.182747,0.185986,1.0531,1.16954,1.00624,0.130539,0.562563,0.935919,0.0160953
8.034104308,1.69048,0,0.417636,0.0803496,0.264129,0.986074,0.91214,1.02373,0.134371,0.760175,0.873269,0.0950749
8.080544218,2.52775,0.0520208,0.00297873,0.0366764,0.342367,0.834074,0.243071,0.773759,0.0239938,1.15337,0.754071,0.296447
8.126984127,3.51758,0.0687558,0.00346261,0.0106562,1.42729,0.0115889,0.00255036,0.526464,0.530484,0.670548,0.158546,0.139847
8.173424036,3.21648,0.458826,0.0678182,0.0583783,1.69725,0.0233595,0.00548932,0.880231,0.560211,0.00357552,0.25537,0.162905
8.219863946,2.84085,0.558506,0.363885,0.0252026,1.64974,0.0364269,0.120025,0.837717,0.747215,0.035112,0.382234,0.128969
8.266303855,2.87065,0.550636,0.431106,0,1.36955,0.0351448,0.111746,0.764823,0.568097,0.0248531,0.449726,0.0872462
8.312743764,3.01126,0.580577,0.108307,0.397078,0.920378,0.118231,0.0509366,0.743363,1.2904,0.135013,0.143872,0.134439
8.359183673,1.88984,1.125,0.223139,0.550224,0.904881,0.118639,0.0638551,0.785103,1.42945,0.193769,0.122992,0.259258
8.405623583,1.11889,1.36434,0.301088,0.335217,0.884264,0.304255,0.0962445,0.500428,1.57864,0.202274,0.307912,0.493882
8.452063492,0.860738,1.50613,0.494226,0.123938,0.619888,0.0530528,0.0442933,1.1217,1.25502,0.0606063,0.306184,0.833779
8.498503401,1.5332,0.176807,0.560678,0.336059,0.788388,0.00183318,0.79841,1.85423,0.415741,0.484567,0.542331,0.403024
8.544943311,1.90816,0.00286716,0.522794,0.284245,1.24849,0.070021,0.517752,1.46137,0.725996,0.536732,0.700131,0.29094
8.591383220,2.12291,0,0.290056,0.298648,1.39496,0.106061,0.195406,1.07124,1.0944,0.42159,0.740596,0.217155
8.637823129,2.47555,0,0.154239,0.656201,1.17918,0.121999,0.0464398,0.734958,1.72358,0.0223667,0.638645,0.0979996
8.684263039,1.61821,0,0.0227873,0.588534,0.204721,0.139413,0.439447,0.557857,2.19512,0.0106768,0.986889,0.0684782
8.730702948,1.27623,0.187643,0,0.420894,0.0127454,0.0295368,0.721219,0.576638,2.21605,0.0346487,1.29716,0.0362235
8.777142857,1.05935,0.235121,0.098101,0.567005,0.0815437,0.109385,0.705982,0.680547,2.0076,0.149734,1.30736,0.0276259
8.823582766,1.03233,0.284897,0.393338,0.604159,0.0704252,0.242254,0.67186,0.546254,1.89662,0.29494,1.21674,0.105348
8.870022676,1.11223,0.703429,0.216861,0.366813,0.188786,0.273965,0.494416,0.63003,1.40754,0.547858,1.16562,0.166474
8.916462585,0.617883,0.94902,0.218429,0.00844233,0.576504,0.725534,1.35654,0.218897,0.354797,0.919098,0.0740887,0.208236
8.962902494,0.374784,0.968963,0.231612,0.162792,0.382125,1.0471,1.48454,0.141278,0.303379,0.892164,0.143151,0.259459
9.009342404,0.189589,0.908153,0.0515247,0.424967,0.200411,1.52569,1.5904,0.102488,0.232324,1.00641,0.36628,0.379937
9.055782313,0,1.02414,0.0227279,0.450245,0.162978,2.34569,1.06217,0.0790601,0.0365224,0.839054,0.743602,0.107002
9.102222222,0,0.941182,0.0391995,0.245913,0.0920791,2.12665,0.157294,0.85393,0.692483,0.52077,2.18788,0
